"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Female!!Estimate","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","145,128,676","52.5%","47.5%","32,387","39,530","27,627"
"Management, business, science, and arts occupations:","52,753,573","47.8%","52.2%","52,478","65,997","45,722"
"    Management, business, and financial occupations:","21,201,006","55.6%","44.4%","61,059","71,340","51,203"
"        Management occupations","14,257,292","60.8%","39.2%","64,994","74,433","52,491"
"        Business and financial operations occupations","6,943,714","44.9%","55.1%","54,454","64,574","49,071"
"    Computer, engineering, and science occupations:","7,782,601","74.2%","25.8%","70,129","73,511","58,110"
"        Computer and mathematical occupations","3,875,030","73.7%","26.3%","71,730","75,493","62,745"
"        Architecture and engineering occupations","2,658,394","84.8%","15.2%","72,208","75,551","57,996"
"        Life, physical, and social science occupations","1,249,177","53.5%","46.5%","53,844","60,372","50,236"
"    Education, legal, community service, arts, and media occupations:","15,648,385","35.8%","64.2%","40,384","47,513","36,490"
"        Community and social services occupations","2,369,635","36.9%","63.1%","37,573","39,841","37,003"
"        Legal occupations","1,681,294","48.6%","51.4%","72,063","101,879","53,664"
"        Education, training, and library occupations","8,791,356","27.2%","72.8%","38,195","46,785","35,295"
"        Arts, design, entertainment, sports, and media occupations","2,806,100","54.3%","45.7%","36,231","41,226","30,875"
"    Healthcare practitioner and technical occupations:","8,121,581","25.4%","74.6%","52,425","72,979","50,275"
"        Health diagnosing and treating practitioners and other technical occupations","5,626,924","26.9%","73.1%","62,650","100,320","58,749"
"        Health technologists and technicians","2,494,657","22.0%","78.0%","35,646","40,620","34,240"
"Service occupations:","26,654,335","43.6%","56.4%","17,425","21,446","15,391"
"    Healthcare support occupations","3,752,165","13.4%","86.6%","21,942","25,193","21,661"
"    Protective service occupations:","3,190,761","77.6%","22.4%","40,702","43,238","31,071"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,796,111","75.7%","24.3%","28,697","31,353","20,814"
"        Law enforcement workers including supervisors","1,394,650","80.0%","20.0%","53,867","56,758","44,899"
"    Food preparation and serving related occupations","8,464,136","45.8%","54.2%","12,858","15,228","11,768"
"    Building and grounds cleaning and maintenance occupations","5,853,358","60.4%","39.6%","18,050","21,528","14,096"
"    Personal care and service occupations","5,393,915","22.8%","77.2%","15,200","18,945","14,211"
"Sales and office occupations:","35,109,334","37.6%","62.4%","27,412","33,653","25,266"
"    Sales and related occupations","15,688,353","50.0%","50.0%","26,075","38,567","17,415"
"    Office and administrative support occupations","19,420,981","27.6%","72.4%","28,482","30,122","27,981"
"Natural resources, construction, and maintenance occupations:","12,924,043","95.4%","4.6%","33,084","34,392","20,966"
"    Farming, fishing, and forestry occupations","1,041,894","78.8%","21.2%","19,166","21,144","13,435"
"    Construction and extraction occupations","7,235,513","97.3%","2.7%","31,857","31,966","25,081"
"    Installation, maintenance, and repair occupations","4,646,636","96.0%","4.0%","40,410","40,551","33,451"
"Production, transportation, and material moving occupations:","17,687,391","77.9%","22.1%","29,425","31,660","21,307"
"    Production occupations","8,712,986","71.7%","28.3%","30,936","35,364","22,245"
"    Transportation occupations","5,229,882","86.7%","13.3%","31,897","34,648","21,147"
"    Material moving occupations","3,744,523","79.8%","20.2%","21,626","22,837","17,329"
"PERCENT IMPUTED","","","","","",""
"    Occupation","10.5%","(X)","(X)","(X)","(X)","(X)"
