"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Female!!Estimate","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","139,033,928","52.1%","47.9%","31,728","37,464","26,864"
"Management, business, science, and arts occupations:","49,975,620","47.5%","52.5%","51,209","62,270","43,438"
"    Management, business, and financial occupations:","19,970,732","55.8%","44.2%","57,143","67,087","48,575"
"        Management occupations","13,446,602","60.9%","39.1%","61,017","70,268","50,546"
"        Business and financial operations occupations","6,524,130","45.1%","54.9%","51,729","61,882","46,262"
"    Computer, engineering, and science occupations:","7,161,413","74.1%","25.9%","66,268","70,518","55,836"
"        Computer and mathematical occupations","3,437,503","72.9%","27.1%","68,672","71,488","61,120"
"        Architecture and engineering occupations","2,506,132","85.1%","14.9%","69,653","71,223","56,286"
"        Life, physical, and social science occupations","1,217,778","55.0%","45.0%","52,174","58,340","47,735"
"    Education, legal, community service, arts, and media occupations:","15,209,925","35.2%","64.8%","40,001","47,095","36,024"
"        Community and social services occupations","2,350,316","37.4%","62.6%","36,796","38,689","36,063"
"        Legal occupations","1,629,774","49.4%","50.6%","70,446","101,216","50,767"
"        Education, training, and library occupations","8,619,503","26.5%","73.5%","38,573","47,099","35,487"
"        Arts, design, entertainment, sports, and media occupations","2,610,332","53.0%","47.0%","34,486","40,076","30,048"
"    Healthcare practitioner and technical occupations:","7,633,550","25.2%","74.8%","51,305","71,726","47,606"
"        Health diagnosing and treating practitioners and other technical occupations","5,218,599","26.8%","73.2%","61,369","98,119","55,981"
"        Health technologists and technicians","2,414,951","21.7%","78.3%","34,980","40,305","33,044"
"Service occupations:","25,059,153","43.3%","56.7%","16,910","21,104","14,792"
"    Healthcare support occupations","3,482,296","11.9%","88.1%","21,381","23,791","21,174"
"    Protective service occupations:","3,109,673","77.5%","22.5%","40,726","43,489","31,021"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,697,924","76.2%","23.8%","29,140","31,827","20,448"
"        Law enforcement workers including supervisors","1,411,749","79.1%","20.9%","51,583","54,178","42,360"
"    Food preparation and serving related occupations","7,918,347","44.7%","55.3%","12,312","14,574","11,491"
"    Building and grounds cleaning and maintenance occupations","5,571,653","60.4%","39.6%","17,198","20,864","13,376"
"    Personal care and service occupations","4,977,184","22.3%","77.7%","14,583","19,204","13,522"
"Sales and office occupations:","34,711,455","37.1%","62.9%","26,907","33,045","24,637"
"    Sales and related occupations","15,394,273","50.2%","49.8%","25,585","37,481","17,138"
"    Office and administrative support occupations","19,317,182","26.7%","73.3%","27,521","29,566","27,210"
"Natural resources, construction, and maintenance occupations:","12,697,304","95.4%","4.6%","31,793","32,090","20,954"
"    Farming, fishing, and forestry occupations","1,046,527","80.6%","19.4%","17,159","18,916","12,314"
"    Construction and extraction occupations","7,069,949","97.3%","2.7%","30,929","31,029","25,414"
"    Installation, maintenance, and repair occupations","4,580,828","95.9%","4.1%","38,936","39,311","32,507"
"Production, transportation, and material moving occupations:","16,590,396","77.2%","22.8%","27,705","30,951","20,967"
"    Production occupations","8,220,827","70.9%","29.1%","29,909","33,375","21,565"
"    Transportation occupations","4,876,925","86.1%","13.9%","31,105","32,250","21,413"
"    Material moving occupations","3,492,644","79.7%","20.3%","21,204","22,153","17,256"
"PERCENT IMPUTED","","","","","",""
"    Occupation","6.7%","(X)","(X)","(X)","(X)","(X)"
