"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Female!!Estimate","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","140,399,548","52.3%","47.7%","32,096","37,935","27,225"
"Management, business, science, and arts occupations:","50,508,936","47.6%","52.4%","51,793","63,895","44,618"
"    Management, business, and financial occupations:","20,102,895","55.7%","44.3%","59,211","69,484","50,066"
"        Management occupations","13,432,833","60.9%","39.1%","61,759","71,184","51,263"
"        Business and financial operations occupations","6,670,062","45.1%","54.9%","52,595","63,745","47,277"
"    Computer, engineering, and science occupations:","7,362,155","74.1%","25.9%","67,402","71,421","57,354"
"        Computer and mathematical occupations","3,570,832","72.8%","27.2%","70,594","73,063","62,155"
"        Architecture and engineering occupations","2,544,827","85.6%","14.4%","70,504","71,945","57,758"
"        Life, physical, and social science occupations","1,246,496","54.3%","45.7%","53,069","59,773","49,307"
"    Education, legal, community service, arts, and media occupations:","15,181,020","35.4%","64.6%","40,170","47,491","36,167"
"        Community and social services occupations","2,334,561","36.9%","63.1%","36,951","38,577","36,374"
"        Legal occupations","1,648,293","49.2%","50.8%","71,323","102,200","51,621"
"        Education, training, and library occupations","8,568,628","26.8%","73.2%","38,339","46,903","35,274"
"        Arts, design, entertainment, sports, and media occupations","2,629,538","53.5%","46.5%","35,270","40,807","30,128"
"    Healthcare practitioner and technical occupations:","7,862,866","25.5%","74.5%","51,763","71,833","48,627"
"        Health diagnosing and treating practitioners and other technical occupations","5,391,336","27.0%","73.0%","61,845","100,112","56,901"
"        Health technologists and technicians","2,471,530","22.3%","77.7%","35,234","40,365","33,735"
"Service occupations:","25,739,562","43.5%","56.5%","17,061","21,230","14,955"
"    Healthcare support occupations","3,596,917","12.9%","87.1%","21,548","23,747","21,331"
"    Protective service occupations:","3,157,121","78.0%","22.0%","40,801","44,328","30,574"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,754,922","75.9%","24.1%","29,205","31,975","20,867"
"        Law enforcement workers including supervisors","1,402,199","80.7%","19.3%","53,929","56,659","42,706"
"    Food preparation and serving related occupations","8,156,550","44.8%","55.2%","12,436","14,820","11,588"
"    Building and grounds cleaning and maintenance occupations","5,716,436","60.4%","39.6%","17,365","20,887","13,745"
"    Personal care and service occupations","5,112,538","22.7%","77.3%","14,632","19,100","13,598"
"Sales and office occupations:","34,447,704","37.5%","62.5%","27,206","33,241","24,855"
"    Sales and related occupations","15,326,229","50.2%","49.8%","25,478","37,206","17,007"
"    Office and administrative support occupations","19,121,475","27.2%","72.8%","28,180","29,955","27,731"
"Natural resources, construction, and maintenance occupations:","12,748,750","95.4%","4.6%","32,284","32,735","21,030"
"    Farming, fishing, and forestry occupations","1,058,593","79.4%","20.6%","17,595","19,671","12,384"
"    Construction and extraction occupations","7,001,872","97.4%","2.6%","31,228","31,324","25,908"
"    Installation, maintenance, and repair occupations","4,688,285","96.0%","4.0%","39,495","39,680","36,197"
"Production, transportation, and material moving occupations:","16,954,596","77.5%","22.5%","28,273","31,144","21,217"
"    Production occupations","8,399,258","71.4%","28.6%","30,341","34,186","22,035"
"    Transportation occupations","4,971,886","86.1%","13.9%","31,228","32,637","21,227"
"    Material moving occupations","3,583,452","79.9%","20.1%","21,423","22,365","17,400"
"PERCENT IMPUTED","","","","","",""
"    Occupation","6.8%","(X)","(X)","(X)","(X)","(X)"
