"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Female!!Estimate","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","148,019,908","52.5%","47.5%","33,075","40,110","28,170"
"Management, business, science, and arts occupations:","54,622,492","47.5%","52.5%","52,975","66,453","45,970"
"    Management, business, and financial occupations:","21,946,506","55.3%","44.7%","61,265","71,648","51,488"
"        Management occupations","14,846,834","60.3%","39.7%","65,327","75,234","53,017"
"        Business and financial operations occupations","7,099,672","44.7%","55.3%","55,132","65,100","49,940"
"    Computer, engineering, and science occupations:","8,073,244","74.3%","25.7%","70,740","74,562","60,272"
"        Computer and mathematical occupations","4,119,236","74.0%","26.0%","72,872","76,445","65,162"
"        Architecture and engineering occupations","2,663,497","84.6%","15.4%","72,458","75,698","60,226"
"        Life, physical, and social science occupations","1,290,511","53.7%","46.3%","54,536","59,784","50,681"
"    Education, legal, community service, arts, and media occupations:","15,971,308","35.3%","64.7%","40,471","48,045","36,662"
"        Community and social services occupations","2,521,254","35.9%","64.1%","37,816","40,039","37,142"
"        Legal occupations","1,661,609","49.0%","51.0%","75,567","105,391","55,780"
"        Education, training, and library occupations","8,910,030","26.9%","73.1%","38,495","47,194","35,525"
"        Arts, design, entertainment, sports, and media occupations","2,878,415","52.9%","47.1%","36,174","41,261","30,768"
"    Healthcare practitioner and technical occupations:","8,631,434","25.1%","74.9%","52,123","71,353","49,956"
"        Health diagnosing and treating practitioners and other technical occupations","5,772,601","26.1%","73.9%","62,921","96,624","59,632"
"        Health technologists and technicians","2,858,833","23.1%","76.9%","35,468","41,248","33,634"
"Service occupations:","26,950,798","43.7%","56.3%","17,590","21,628","15,519"
"    Healthcare support occupations","3,516,392","12.8%","87.2%","22,162","24,769","21,967"
"    Protective service occupations:","3,269,090","78.4%","21.6%","41,012","44,132","31,301"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,794,061","76.6%","23.4%","29,468","31,516","21,584"
"        Law enforcement workers including supervisors","1,475,029","80.6%","19.4%","53,624","56,515","43,390"
"    Food preparation and serving related occupations","8,728,394","45.7%","54.3%","13,157","15,477","11,951"
"    Building and grounds cleaning and maintenance occupations","5,945,384","60.0%","40.0%","18,328","21,718","14,445"
"    Personal care and service occupations","5,491,538","22.1%","77.9%","15,330","18,911","14,520"
"Sales and office occupations:","35,098,114","38.0%","62.0%","27,665","34,490","25,427"
"    Sales and related occupations","15,864,596","49.7%","50.3%","26,346","39,387","17,751"
"    Office and administrative support occupations","19,233,518","28.4%","71.6%","28,756","30,162","28,324"
"Natural resources, construction, and maintenance occupations:","13,191,538","95.2%","4.8%","33,994","35,141","21,249"
"    Farming, fishing, and forestry occupations","1,102,758","78.1%","21.9%","19,020","21,128","12,267"
"    Construction and extraction occupations","7,470,757","97.2%","2.8%","32,299","32,418","25,575"
"    Installation, maintenance, and repair occupations","4,618,023","96.1%","3.9%","40,692","40,804","34,991"
"Production, transportation, and material moving occupations:","18,156,966","78.0%","22.0%","30,117","32,019","21,490"
"    Production occupations","8,824,465","71.9%","28.1%","31,289","35,907","22,273"
"    Transportation occupations","5,376,762","86.7%","13.3%","32,346","35,356","22,033"
"    Material moving occupations","3,955,739","79.8%","20.2%","21,980","23,516","17,745"
"PERCENT IMPUTED","","","","","",""
"    Occupation","12.3%","(X)","(X)","(X)","(X)","(X)"
