fe,all_workers,all_salary,male_workers,male_salary,female_workers,female_salary,female_to_male_salary_ratio,female_to_male_workers_ratio,male_worker_percent,female_worker_percent,representation_gap,male_probability,Category
Elementary and middle school teachers,2806,974,543,1077,2262,957,0.888579387,4.165745856,0.193513899,0.806129722,-1719,0,PS
Personal care aides,680,462,128,537,552,441,0.82122905,4.3125,0.188235294,0.811764706,-424,0,SL
Social workers,677,877,127,943,549,862,0.914103924,4.322834646,0.187592319,0.810930576,-422,0,PS
Office clerks general,929,620,156,609,773,622,1.02134647,4.955128205,0.167922497,0.832077503,-617,0,B
Maids and housekeeping cleaners,876,416,134,475,742,407,0.856842105,5.537313433,0.152968037,0.847031963,-608,0,SL
HEALTHCARE SUPPORT,2395,498,320,577,2074,490,0.849220104,6.48125,0.133611691,0.865970772,-1754,0,SL
Registered nurses,2382,1116,278,1222,2104,1098,0.898527005,7.568345324,0.116708648,0.883291352,-1826,0,STEM
Nursing psychiatric and home health aides,1400,467,163,526,1237,457,0.868821293,7.588957055,0.116428571,0.883571429,-1074,0,SL
Bookkeeping accounting and auditing clerks,769,692,87,690,682,692,1.002898551,7.83908046,0.11313394,0.88686606,-595,0,B
Receptionists and information clerks,852,575,72,619,781,569,0.919224556,10.84722222,0.084507042,0.916666667,-709,0,B
Secretaries and administrative assistants,2223,687,124,786,2099,683,0.868956743,16.92741935,0.055780477,0.944219523,-1975,0,B
